sensor_ts,system_ts
4574901822,1754204483533085.2
4574935141,1754204483566111.0
4574968460,1754204483599352.0
4575001778,1754204483632691.0
4575035095,1754204483665993.0
4575068414,1754204483699312.0
4575101733,1754204483732727.8
4575135050,1754204483766972.0
4575168368,1754204483799307.0
4575201688,1754204483832634.2
4575235006,1754204483865842.2
4575268324,1754204483899130.5
4575301643,1754204483932398.5
4575334960,1754204483965757.2
4575368279,1754204483999092.5
4575401596,1754204484032438.8
4575434914,1754204484065699.0
4575468234,1754204484098999.2
4575501550,1754204484132523.0
4575534870,1754204484165809.8
4575568190,1754204484199138.5
4575601506,1754204484232470.2
4575634826,1754204484266789.0
4575668144,1754204484299033.8
4575701463,1754204484332365.5
4575734779,1754204484365699.5
4575768098,1754204484398996.0
4575801419,1754204484432221.5
4575834735,1754204484465699.5
4575868052,1754204484498972.0
4575901370,1754204484533356.2
4575934688,1754204484566609.0
4575968006,1754204484598898.8
4576001326,1754204484632227.5
4576034643,1754204484665535.5
4576067962,1754204484698825.0
4576101280,1754204484732042.8
4576134598,1754204484765366.2
4576167917,1754204484798706.8
4576201234,1754204484831980.8
4576234553,1754204484865436.2
4576267873,1754204484898813.0
4576301191,1754204484932146.0
4576334508,1754204484965387.5
4576367827,1754204484998746.8
4576401146,1754204485032014.2
4576434462,1754204485065324.2
4576467782,1754204485098699.5
4576501101,1754204485131921.8
4576534417,1754204485165267.2
4576567737,1754204485198620.2
4576601055,1754204485231849.0
4576634373,1754204485265225.2
4576667690,1754204485298550.8
4576701010,1754204485331899.5
4576734328,1754204485365191.0
4576767645,1754204485398569.8
4576800964,1754204485431798.5
4576834282,1754204485466179.8
4576867601,1754204485498534.8
4576900919,1754204485531775.5
4576934237,1754204485565150.5
4576967557,1754204485598452.8
4577000874,1754204485631760.0
4577034191,1754204485665095.5
4577067513,1754204485698384.5
4577100829,1754204485731830.2
4577134148,1754204485765043.2
4577167467,1754204485798359.8
4577200783,1754204485832689.5
4577234103,1754204485864944.2
4577267420,1754204485899220.0
4577300738,1754204485931533.0
4577334056,1754204485964804.5
4577367375,1754204485998155.2
4577400694,1754204486031442.8
4577434011,1754204486064789.5
4577467330,1754204486098055.5
4577500649,1754204486131520.5
4577533965,1754204486164755.8
4577567283,1754204486198069.8
4577600603,1754204486231389.5
4577633920,1754204486265744.2
4577667237,1754204486298008.8
4577700558,1754204486331340.5
4577733875,1754204486364659.2
4577767192,1754204486397996.2
4577800511,1754204486431301.5
4577833830,1754204486464646.5
4577867148,1754204486497948.0
4577900467,1754204486531375.2
4577933785,1754204486564575.0
4577967103,1754204486597866.2
4578000421,1754204486632233.0
4578033739,1754204486664521.5
4578067057,1754204486697838.0
